id,name,schedule,accept_temporary,published_at,city,salary_mean,skills,experience,professional roles,employer,employer trusted,url
74266823,Менеджер по продажам,fullDay,False,2023-01-01T17:36:45+0300,Ярославль,70000.0,"['Прямые продажи', 'Деловое общение', 'Активные продажи', 'MS CRM', 'B2C продажи', 'B2B Продажи', 'B2B', 'Ведение деловой переписки']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/74266823
73406900,Разработчик базы данных (middle),fullDay,True,2022-12-06T18:26:01+0300,Брянск,115000.0,"['Python', 'MS SQL', 'MS SQL Server', 'Transact-SQL', 'SSRS', 'SSIS', 'Data Analysis', 'Big Data', 'Оптимизация запросов SQL']",От 1 года до 3 лет,"Программист, разработчик",IT Pro,True,https://hh.ru/vacancy/73406900
74266841,Менеджер по продажам,fullDay,False,2023-01-01T17:37:25+0300,Архангельск,70000.0,"['Прямые продажи', 'Деловое общение', 'Активные продажи', 'MS CRM', 'B2C продажи', 'B2B Продажи', 'B2B', 'Ведение деловой переписки']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/74266841
73853076,Кабельщик-спайщик,fullDay,False,2022-12-15T11:52:17+0300,Альметьевск,35000.0,['Работа в команде'],Нет опыта,Разнорабочий,ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/73853076
73506496,Менеджер по привлечению корпоративных клиентов,fullDay,False,2023-01-01T11:20:09+0300,Москва,70000.0,"['B2B Продажи', 'Холодные продажи', 'Активные продажи', 'B2B', 'Ведение деловой переписки', 'Деловое общение', 'Корпоративные продажи', 'Выявление потребностей клиента']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/73506496
73506675,Менеджер по продажам,fullDay,False,2023-01-01T11:23:04+0300,Тула,70000.0,"['Прямые продажи', 'Деловое общение', 'Активные продажи', 'MS CRM', 'B2C продажи', 'B2B Продажи', 'B2B', 'Ведение деловой переписки']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/73506675
73461712,"Старший преподаватель кафедры ""Интеллектуальные системы в управлении и автоматизации""",flexible,False,2022-12-07T14:25:47+0300,Москва,40000.0,"['Организаторские навыки', 'Обучение и развитие']",От 3 до 6 лет,"Учитель, преподаватель, педагог",МТУСИ,True,https://hh.ru/vacancy/73461712
73461421,Ведущий специалист отдела телемаркетинга (юрлица),fullDay,False,2022-12-07T14:21:12+0300,Казань,50000.0,"['Многозадачность', 'Проведение опросов клиентов', 'проведение опросов общественного мнения', 'Презентационные навыки', 'Statistics']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/73461421
72729547,Sales Intеrn Central Federal District / Стажер отдела продаж – Центральный федеральный округ,fullDay,False,2022-12-31T17:36:43+0300,Москва,70000.0,[],Нет опыта,Другое,Procter & Gamble,True,https://hh.ru/vacancy/72729547
72729020,Sales Intern Southern Federal District / Стажер отдела продаж – Южный федеральный округ,fullDay,False,2022-12-31T17:36:43+0300,Краснодар,70000.0,[],Нет опыта,Другое,Procter & Gamble,True,https://hh.ru/vacancy/72729020
